name_loc,id_loc
Electronic City Phase 2,68601
Chickpet,57210
Chintamani,57247
Dasarahalli on Tumkur Road,56697
Hoodi,63835
Hosur,50187
Junnasandra,66667
Kannamangala,63868
Nayandahalli,62803
Yelahanka,50172
Hebbal,50175
Sarjapur,51641
Harohalli,51683
Hesaraghatta,51448
Horamavu,50369
Hosa Road,51451
Hoskote,51143
Hulimavu,52703
Indira Nagar,50162
ITPL,51656
Jagadenahalli,52091
Jakkur,50338
Jalahalli,50177
Jayanagar,50394
Banashankari,50265
Chamarajpet,52335
HSR Layout,50387
KR Puram,50167
Banaswadi,51097
Basavanagudi,50370
Basaveswarnagar,51165
Chandapura,51152
Chikballapur,50347
Chikkagubbi on Hennur Main Road,52695
CV Raman Nagar,50163
Bannerghatta,50184
Devanahalli,50174
BTM Layout,50392
Whitefield Hope Farm Junction,50161
Adugodi,52720
Anagalapura Near Hennur Main Road,52696
Begur,50185
Bennigana Halli,52149
Bidadi,51647
Dabaspete,50268
Doddaballapur,50173
Doddanekundi,51449
Domlur,51501
Koramangala,50317
Varthur,51998
Bellandur,50270
Frazer Town,50273
Anekal City,50359
Anjanapura,51204
Ashok Nagar,50157
Bilekahalli,51126
Bommanahalli,51160
Bommasandra,51499
Gottigere,51188
H Cross,51949
Harlur,51635
Marathahalli,50164
JP Nagar Phase 1,53146
Electronic City Phase 1,50186
Attibele,51219
Avalahalli Off Sarjapur Road,52351
Bagalur,51545
Bagaluru Near Yelahanka,52692
Brookefield,50169
Carmelaram,52361
Kolar,52321
Hennur,50176
Jeevan Bima Nagar,52306
Baliganapalli,52709
Nagarbhavi,51156
Kudlu,51113
Kumbalgodu,52333
Kurubarahalli on Magadi Road,52713
Kuvempu Layout on Hennur Main Road,52694
Jigani,50362
JP Nagar Phase 7,50188
Kadugodi,51502
Nagawara,50372
Narayanaghatta,52346
Narayanapura on Hennur Main Road,51087
Lingarajpuram,51092
Magadi,51173
Mahadevapura,51453
Kalyan Nagar,51503
Kanakapura,52715
Kanakapura Road Beyond Nice Ring Road,52236
Near Peenya Industrial Area,52710
Nelamangala Town,50373
Padmanabha Nagar,51508
Malleswaram,50181
Malur,51459
Marsur,50309
Kannur on Thanisandra Main Road,52697
Kengeri,51078
Kodigehalli,51112
Rajaji Nagar,51181
Rajarajeshwari Nagar,50271
Ramagondanahalli,51447
Murugesh Palya,51161
Kodihalli on Old Airport Road,52718
Kogilu,52771
Ramamurthy Nagar,51129
Richmond Town,50160
Uttarahalli,50204
Vasanth Nagar,51638
Vibhutipura,51636
Vidyaranyapura,51625
RMV,51510
Vijay Nagar,50339
Volagerekallahalli,52362
Wilson Garden,51468
Sadashiva Nagar,51455
Sahakar Nagar,51077
Sanjay Nagar,50179
Yeshwantpur,50183
Anugondahalli,53327
Bagepalli,53126
Budigere Cross,53111
Sarjapur Road Post Railway Crossing,52297
Sarjapur Road Till Wipro,52296
Sarjapur Road Wipro To Railway Crossing,52298
Chikkanayakanahalli at Off Sarjapur,97946
Chikkasandra,78126
Seshadripuram,51512
Shivaji Nagar,51513
Sunkadakatte,52801
Gauribidanur,53127
JP Nagar Phase 2,53147
JP Nagar Phase 3,53148
JP Nagar Phase 4,53149
Thanisandra,50180
Ulsoor,50159
JP Nagar Phase 5,53150
JP Nagar Phase 6,53151
JP Nagar Phase 8,53153
JP Nagar Phase 9,53154
Kannahalli,91085
Kasavanahalli Off Sarjapur Road,91282
Konanakunte,53155
Kumaraswamy Layout,53142
Panduranga Nagar,53152
Sai Baba Ashram,53344
Singasandra,70645
Subramanyapura,53143
Sudhama Nagar,53325
Talaghattapura,53156
