PossessionDate,offer,Sizes_pricerange,Price_per_sqft,Locality,RERA-ID,Apartments,Base_price
"1190.00 sqft.,1 Year,
Higher
,
,
,
,East",,"
","
","Yelahanka, Yelahanka, Bangalore",,"
",2.0 Cr
"1910.00 sqft.,
Higher
,
,
,
,East",,"
","
","Na, Yelahanka, Bangalore",,"
",2.0 Cr
"1910.00 sqft.,0 Years,
Higher
,
,
,
,North",,"
","
","Yelahanka Main Road, Near Oriental Bank Of Commerce, Ambedkar Colony, Yelahanka, Bangalore",,"
",1.9 Cr
Ready to Move,,1275.00 sqft. - 1450.00 sqft.,"5435.00 per sqft.
","Kogilu Road, Near Aditya College of Nursing, Maruthi Nagar, Bangalore",,"2, 3 BHK Apartments",69.3 Lacs +
"Jun, 2020",,1171.00 sqft. - 1599.00 sqft.,"4800.00 per sqft.
","Yelahahanka/Bellary Road, Bangalore","
PRM/KA/RERA/1251/309/PR/171026/000415
","2, 3 BHK Apartments",56.21 Lacs +
"1900.00 sqft.,
Higher
,
,
,
,East",,"
","
","Na, Yelahanka, Bangalore",,"
",2.0 Cr
"1315.00 sqft.,0 Years,
Middle
,
,
,
,North-East",,"
","
","Doddaballapura Main Road, Near Crpf Hospital, Avalahalli, Yelahanka, Bangalore",,"
",75.0 Lacs
Ready to Move,,3500.00 sqft.,"12857.00 per sqft.
","Off Bangalore-Hyderabad Highway, Near Yelahanka Pipe Factory, Palanahalli, Yelahanka, Bangalore",,4 BHK Villa,4.5 Cr +
Ready to Move,,1468.00 sqft. - 1910.00 sqft.,"8750.00 per sqft.
","SH 9, Ambedkar Colony, Near The Galleria Mall, Bangalore",,"2, 3 BHK Apartments",1.28 Cr +
"Feb, 2021",,708.00 sqft. - 1007.00 sqft.,"6772.00 per sqft.
","Jakkur, Near Yelahanka, Bangalore","
PRM/KA/RERA/1251/309/PR/171014/000771
","2, 2.5, 3 BHK Apartments",47.95 Lacs +
"Jun, 2020",,1195.00 sqft. - 1915.00 sqft.,"5500.00 per sqft.
","Sy-No.92/5, Kogilu Village  Yelahanka  Hobli, Bangalore","
PR/KN/170731/000683
","2, 2.5, 3 BHK Apartments",68 Lacs +
"Dec, 2019",,1279.00 sqft. - 1865.00 sqft.,"5500.00 per sqft.
","Off NH-7, Shivanahalli, Jakkur, Bangalore","
PR/KN/170729/000324
","2, 3 BHK Apartments",70.35 Lacs +
"Dec, 2019","Offer,No Pre-EMI* for 24 months",1170.00 sqft. - 1926.00 sqft.,"6300.00 per sqft.
","Off Ranna Road, Hebbal Kempapura, Bangalore","
PRM/KA/RERA/1251/309/PR/180217/001266
","2, 3 BHK Apartments",73.71 Lacs +
Ready to Move,"Offer,Ocupancy certificate is received for this project",1325.00 sqft. - 1930.00 sqft.,"4750.00 per sqft.
","Survey No. 51/2, Duo Marvel Layout, Ananthapura Road, Off Dodda Ballapur Road, Near Ramana Shree California Resort, Yelahanka, Bangalore",,3 BHK Apartment,62.94 Lacs +
"Price on request,Dec, 2022",,"
","
","National Highway 7 Near International Airport, Devanahalli, Bangalore","
PR/KN/170730/000287
","
",23.35 Lacs +
